NAME-F,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
Josh,Richardson,SG,13,1,9.2,1.7,0.2,0.9,1.1,0.5,0.15,0.08,0.3,1.5,1.8,4.1,0.5,1.5,0.316,0.3,0.8,0.4,0.5,0.8,0.6,0.2,0.7,0.222,1.158,0.42
Josh,Smith,C,28,0,14.6,5.9,1.1,2.9,4,1.4,0.5,1.18,1.3,1.9,1.1,14.6,2.2,5.6,0.395,0.6,1.9,0.315,0.9,1.4,0.6,1.6,3.7,0.437,1.051,0.45
Jrue,Holiday,PG,22,14,22.8,13.1,0.2,1.9,2,4.5,0.95,0.36,2.1,2.3,2.1,19.5,4.6,10.4,0.443,1.4,3.3,0.411,2.6,3.3,0.79,3.2,7.1,0.458,1.268,0.51
Julius,Randle,PF,28,20,27.4,11.5,2.4,7.1,9.5,1.6,0.75,0.43,1.9,3,0.9,14.3,4.5,10.6,0.421,0,0.3,0.111,2.5,3.6,0.69,4.5,10.3,0.431,1.081,0.42
Justin,Anderson,SG,18,1,6.3,2.2,0.1,1,1.1,0.2,0.11,0.11,0.4,0.5,0.4,6.5,0.9,2.2,0.41,0.2,1.1,0.211,0.2,0.4,0.5,0.7,1.1,0.6,1.026,0.46
Justin,Holiday,SG,17,1,11.9,3.1,0.2,1,1.2,0.5,0.47,0.24,0.5,0.8,1,6.7,1.2,3.4,0.368,0.6,2.1,0.286,0.1,0.1,0.5,0.6,1.3,0.5,0.93,0.46
Justise,Winslow,SF,27,0,27.4,5.8,0.8,3.9,4.7,1.3,0.78,0.26,1.5,2.4,0.8,6.8,2.2,5.3,0.42,0.5,1.9,0.25,0.9,1.4,0.62,1.7,3.4,0.516,1.098,0.47
K.J.,McDaniels,SG,10,0,4.3,1.7,0.3,0.6,0.9,0.1,0.1,0.2,0.3,0.6,0.3,6.8,0.6,1.9,0.316,0.2,0.7,0.286,0.3,0.5,0.6,0.4,1.2,0.333,0.895,0.37
Karl-Anthony,Towns,C,29,29,28.3,15.9,2.4,6.9,9.4,1,0.66,2,2,3.3,0.5,22.4,6.5,12.2,0.53,0.3,0.9,0.4,2.6,2.9,0.87,6.2,11.3,0.539,1.296,0.54
Kawhi,Leonard,SF,28,28,33.3,21,1.3,6.1,7.4,2.7,2.04,0.96,1.2,2,2.2,27.6,7.9,15.4,0.509,1.9,4.1,0.47,3.4,3.8,0.88,6,11.3,0.524,1.361,0.57
Kelly,Olynyk,C,28,2,19.5,9.5,1,2.9,3.9,1.5,1.04,0.64,1.3,2.4,1.2,16.9,3.6,7.9,0.455,1.2,3,0.388,1.1,1.6,0.73,2.4,4.9,0.496,1.203,0.53
Kelly,Oubre,SF,20,3,11,4.5,0.4,1.8,2.2,0.3,0.2,0.05,0.4,1.9,0.9,10.3,1.5,3.7,0.405,0.7,1.6,0.419,0.9,1.2,0.74,0.8,2.1,0.395,1.216,0.49
Kemba,Walker,PG,28,28,34.8,17.7,0.8,3.4,4.1,4.9,1.64,0.68,2.2,1.5,2.2,19,6.3,14.5,0.434,1.5,4.3,0.345,3.7,4.5,0.81,4.8,10.2,0.47,1.222,0.48
Kendall,Marshall,PG,6,5,18.3,4.8,0.2,1,1.2,4.8,0.5,0,3.2,0.7,1.5,7.4,2,4.7,0.429,0.5,1.7,0.3,0.3,0.7,0.5,1.5,3,0.5,1.036,0.48
Kendrick,Perkins,C,6,3,9.2,3.2,0.5,1.5,2,0.5,0,0.33,0.7,1,0.8,15.1,1.5,1.8,0.818,0,0,0,0.2,0.3,0.5,1.5,1.8,0.818,1.727,0.82
Kenneth,Faried,PF,25,23,26.8,12.6,3.5,5.5,9,1.1,0.48,1.12,1.6,2.6,0.7,20.1,5.2,9.3,0.556,0,0,0,2.2,4,0.55,5.2,9.3,0.558,1.353,0.56
Kent,Bazemore,SF,26,19,28.3,12.6,0.2,4.3,4.5,2.1,1.42,0.5,1.3,2.2,1.6,16.4,4.7,9.8,0.476,1.4,3.5,0.402,1.8,2.2,0.86,3.3,6.3,0.519,1.287,0.55
Kentavious,Caldwell-Pope,SG,30,30,37.6,14.1,0.8,2.5,3.3,2,1.63,0.27,1.2,2.3,1.7,12.5,5.1,12.6,0.405,1.5,4.8,0.308,2.5,3,0.81,3.6,7.8,0.464,1.122,0.46
Kevin,Durant,SF,23,23,35.2,26.6,0.2,7.5,7.7,4.3,0.96,1.35,3.2,1.5,1.4,29.4,9.1,17.3,0.526,2.4,5.6,0.426,6,6.8,0.88,6.7,11.7,0.575,1.539,0.6
Kevin,Garnett,PF,25,25,15.4,3.1,0.5,4.2,4.7,1.7,0.8,0.32,0.4,1.8,3.8,13.3,1.3,2.8,0.465,0,0,0,0.5,0.7,0.67,1.3,2.8,0.465,1.099,0.46
Kevin,Love,PF,26,26,32.8,17.5,2.5,8.2,10.6,2.6,0.85,0.46,2.2,1.9,1.2,21.2,5.9,13.6,0.436,2.2,5.9,0.37,3.5,4.2,0.83,3.7,7.7,0.487,1.289,0.52
Kevin,Martin,SG,26,12,25,12.1,0.2,2,2.2,1.3,0.54,0.04,1,1.7,1.4,12.3,3.7,10.2,0.367,1.1,2.8,0.378,3.5,4,0.88,2.6,7.4,0.363,1.189,0.42
Kevin,Seraphin,C,23,0,11.1,4,0.7,1.7,2.4,1.2,0.22,0.7,1,1.4,1.2,11.1,1.7,4.3,0.4,0,0,0,0.5,0.6,0.85,1.7,4.3,0.4,0.91,0.4
Khris,Middleton,SG,30,30,34.9,15,0.3,3,3.3,3.5,1.27,0.2,1.4,2.8,2.4,14.5,5,12.2,0.411,2,4.5,0.434,3,3.4,0.88,3,7.7,0.398,1.229,0.49
Kirk,Hinrich,SG,17,2,16.2,4.8,0.1,1.2,1.3,1.6,0.53,0,0.8,2.1,1.9,9.3,1.7,3.8,0.446,0.8,1.6,0.519,0.6,0.6,0.91,0.9,2.2,0.395,1.262,0.55
Klay,Thompson,SG,26,26,31.8,19.3,0.3,3.1,3.5,2.4,0.54,0.85,1.9,2.1,1.3,18.1,6.8,14.6,0.468,3.2,7.3,0.437,2.4,2.8,0.86,3.6,7.3,0.5,1.321,0.58
Kobe,Bryant,SF,25,25,30.7,17.4,0.6,3.6,4.1,3.5,1.04,0.2,2.1,2,1.7,13.6,6,17.4,0.344,1.8,7.3,0.247,3.6,4.5,0.79,4.2,10.1,0.413,0.995,0.4
Kosta,Koufos,C,29,8,22.4,8.1,2.6,3.9,6.5,0.2,0.69,1,0.6,2.8,0.4,16,3.6,6.7,0.528,0,0,0,1,1.7,0.58,3.6,6.7,0.528,1.205,0.53
Kostas,Papanikolaou,SF,20,2,9.9,2.8,0.3,1.1,1.4,0.5,0.4,0.2,0.6,1,0.9,8.9,1,2.4,0.404,0.4,1.1,0.364,0.5,0.7,0.64,0.6,1.3,0.44,1.17,0.49
Kris,Humphries,PF,22,14,18,6.5,1.1,3.2,4.4,0.7,0.09,0.55,0.7,1.5,0.9,12.2,2.3,5.7,0.397,1,2.5,0.382,1,1,0.96,1.3,3.2,0.408,1.135,0.48
Kristaps,Porzingis,PF,30,30,27.7,13.3,2.2,6,8.2,1.2,0.73,2.03,1.9,2.9,0.6,18.4,4.9,11.6,0.425,1,2.9,0.333,2.5,3,0.84,3.9,8.7,0.456,1.149,0.47
Kyle,Anderson,SF,29,2,12.4,3.1,0.2,2,2.2,1.1,0.45,0.41,0.5,0.9,2.1,11.6,1.1,2.5,0.452,0.1,0.3,0.4,0.7,1,0.63,1,2.2,0.46,1.219,0.48
Kyle,Korver,SG,29,29,31.6,10.2,0.1,3.8,3.9,2.2,0.86,0.38,1.5,1.9,1.5,11.3,3.7,7.9,0.467,2,4.8,0.417,0.8,0.9,0.85,1.7,3.1,0.544,1.288,0.59
Kyle,Lowry,PG,30,30,35.7,20.9,0.7,4.3,5,6,2.23,0.63,2.8,3,2.1,23.3,6.5,15.9,0.411,2.8,7.2,0.382,5,5.7,0.88,3.7,8.7,0.435,1.312,0.5
Kyle,O'Quinn,PF,23,0,13.7,5.1,1.6,3.1,4.7,1.3,0.52,0.83,1,2.2,1.3,19.1,2,4.1,0.495,0,0.3,0,1,1.4,0.75,2,3.8,0.54,1.242,0.49
Kyle,Singler,SF,23,1,10.7,1.8,0.3,1.2,1.4,0.1,0.61,0.13,0.6,1.6,0.1,0.5,0.7,2.6,0.254,0.3,1.3,0.194,0.3,0.5,0.5,0.4,1.3,0.321,0.712,0.31
Kyrie,Irving,PG,2,2,18,8.5,0.5,0.5,1,4,1,0,1.5,1.5,2.7,13.2,3,9.5,0.316,1,1.5,0.667,1.5,1.5,1,2,8,0.25,0.895,0.37
Lamar,Patterson,SG,25,0,13,2.5,0.2,1.6,1.8,1.4,0.24,0.08,0.7,1.5,1.9,4.9,0.8,2.4,0.328,0.4,1.6,0.231,0.5,0.8,0.68,0.4,0.8,0.5,1.016,0.4
LaMarcus,Aldridge,PF,28,28,29.4,15.7,2.5,6.3,8.8,1.3,0.36,1.07,1.4,2,0.9,19.8,6.4,13.5,0.472,0,0.3,0,3,3.7,0.81,6.4,13.2,0.484,1.167,0.47
Lance,Stephenson,SF,27,10,17.8,4.6,0.6,2.2,2.7,1.7,0.59,0.07,1.3,2,1.3,8,1.8,4.1,0.441,0.5,1.3,0.361,0.5,0.7,0.68,1.3,2.8,0.48,1.117,0.5
Lance,Thomas,SF,30,2,21,8.9,0.6,1.5,2.1,0.8,0.4,0.03,1,1.6,0.8,13.6,3.1,6.4,0.49,0.8,1.9,0.431,1.8,2,0.89,2.3,4.5,0.515,1.391,0.55
Langston,Galloway,SG,30,0,25,8.1,0.6,3,3.6,2.1,1,0.13,0.6,2,3.4,12.5,2.8,7.2,0.382,1.2,2.9,0.409,1.3,1.7,0.77,1.6,4.3,0.364,1.115,0.47
